DMX ID,Light ID,Dome Theta,Dome Phi,Dome X,Dome Y,Dome Z,Pixel U,Pixel V
8,25,1.83794,1.35024,0.211009,-0.263976,0.941165,0.714898,0.585034
3,45,0.77281,4.33511,-0.257195,0.715952,-0.649048,0.189954,0.245993
7,65,2.88591,1.85857,-0.0717789,-0.967492,0.242503,0.795801,0.918615
4,45,0.717695,3.8566,-0.496583,0.753324,-0.431172,0.113797,0.228449
0,65,2.83342,0.149101,0.299955,-0.952889,0.045058,0.52373,0.901905
9,195,0.640699,0.378642,0.555416,0.801678,0.220966,0.560263,0.203941
4,125,2.27558,3.63915,-0.669392,-0.647867,-0.36357,0.0791887,0.724339
0,105,0.198985,6.24966,0.197564,0.980268,-0.00662568,0.494664,0.0633391
2,95,1.04549,4.8949,0.157028,0.50148,-0.8508,0.279048,0.332789
8,145,0.969985,0.962746,0.471226,0.565312,0.677029,0.653226,0.308756
3,125,2.24613,4.058,-0.47507,-0.625159,-0.619261,0.14585,0.714966
7,105,0.188819,1.98604,-0.0757196,0.982227,0.171748,0.816088,0.060103
5,95,0.979878,3.15406,-0.830365,0.557124,-0.0103525,0.00198413,0.311905
5,80,2.07944,3.16553,-0.873158,-0.486989,-0.0209038,0.00380952,0.661905
3,130,1.87099,4.14391,-0.514275,-0.295708,-0.805033,0.159524,0.595556
8,150,0.719173,0.976776,0.368708,0.752351,0.545915,0.655459,0.22892
2,80,2.08072,4.97739,0.228594,-0.488109,-0.842315,0.292177,0.662313
4,130,1.85452,3.54242,-0.883928,-0.279932,-0.374578,0.0637931,0.590312
9,180,1.69466,0.265091,0.957674,-0.123552,0.25999,0.54219,0.539429
0,70,2.63251,6.21543,0.486254,-0.873194,-0.032999,0.489216,0.837955
4,50,0.477192,3.827,-0.355561,0.888288,-0.290725,0.109086,0.151895
7,70,2.45643,1.89626,-0.202336,-0.774314,0.599582,0.801799,0.781905
3,50,0.48513,4.29748,-0.187978,0.884614,-0.426757,0.183965,0.154422
8,30,1.50466,1.39167,0.17778,0.0660905,0.981848,0.721491,0.478947
3,75,2.31273,4.23084,-0.341419,-0.675714,-0.653332,0.173359,0.736165
8,15,2.60714,1.33554,0.118729,-0.860548,0.495339,0.712558,0.829879
4,75,2.26095,3.75545,-0.630362,-0.636655,-0.444201,0.0976984,0.719683
4,115,2.87365,3.72927,-0.220329,-0.964318,-0.146783,0.0935323,0.914712
6,85,1.71925,2.47587,-0.777823,-0.147904,0.610831,0.894048,0.547253
0,135,1.50098,6.061,0.973043,0.0697564,-0.219823,0.464638,0.477778
3,115,2.76487,4.13666,-0.200287,-0.929877,-0.308569,0.158369,0.880087
1,85,1.71925,5.57259,0.749635,-0.147904,-0.645113,0.386905,0.547253
8,175,1.98487,0.881569,0.582198,-0.402339,0.706519,0.640306,0.631803
7,135,1.50398,1.70544,-0.133934,0.0667713,0.988738,0.771429,0.47873
7,120,2.61539,1.6792,-0.0543403,-0.864722,0.499303,0.767253,0.832505
8,160,2.85156,0.852718,0.188158,-0.958235,0.215364,0.635714,0.907681
1,90,1.22228,5.58339,0.718986,0.341499,-0.605341,0.388624,0.389065
3,100,0.848115,4.23827,-0.34243,0.661398,-0.667304,0.174542,0.269963
0,120,2.58138,6.05209,0.51724,-0.847143,-0.121704,0.463221,0.821679
